Name	Gcnf	Gata6	Pbx1	Klf4	Nanog
1_353_1	1.675566	0.769638	-1.314874	-0.722365	-1.032690
1_354_1	1.090279	-0.395168	-1.279527	-1.740757	-0.911060
1_355_1	-0.072652	0.162914	-0.341212	-0.657974	0.006478
1_356_1	-0.130143	0.069379	-1.130040	-0.632941	-0.635724
1_357_1	1.116879	0.697954	-0.656118	-1.566034	-1.268713
1_358_1	0.935552	0.479785	-1.055101	-0.633255	-1.601563
1_359_1	1.104659	1.105700	-0.813146	-0.862719	-1.565245
1_360_1	1.118966	0.809685	-0.291512	-1.359296	-2.691971
1_361_1	-0.297770	-0.268882	0.021381	-1.636159	-0.037384
1_362_1	1.164583	1.883606	-0.552840	-0.713256	-1.844088
1_363_1	1.361100	1.325285	0.126958	-1.199875	-1.703789
1_364_1	-1.643430	-1.725258	0.878800	1.282490	1.014835
1_365_1	-0.181649	-0.935479	-0.562990	-1.712942	-0.934263
1_366_1	0.031603	-0.160676	-1.107205	-1.282061	-0.924220
1_367_1	-1.550599	-1.587933	1.668778	1.117831	1.630866
1_368_1	0.385335	-0.814220	0.537495	-0.873115	-0.439409
1_369_1	1.273620	0.621305	-1.511330	-1.325193	-1.428940
1_370_1	-0.314395	-0.375203	-0.761727	-0.875710	-1.172762
1_371_1	-1.492150	-0.893352	0.815367	1.595539	1.383735
1_372_1	-0.398151	-1.292145	1.298408	1.203719	1.342463
1_373_1	-0.164228	-1.373299	-0.821132	-0.175202	-1.105471
1_374_1	1.547855	0.993205	-0.746033	-1.567632	-1.536074
1_375_1	1.849640	0.244304	-0.992176	-0.518543	-0.406733
1_376_1	1.317581	1.013030	-0.607869	-1.217207	-1.267433
1_377_1	0.714549	0.767248	-0.847995	-0.767281	-2.042946
1_378_1	-2.126457	-1.070171	0.689913	1.015863	1.347625
1_379_1	0.931306	1.220262	-1.865667	-1.574242	-1.755641
1_380_1	1.653350	0.802435	-0.260540	-0.778073	-1.687065
1_381_1	1.321870	0.938555	-0.069029	-0.913057	-1.736294
1_382_1	0.458432	1.338689	0.088160	-0.503507	-0.844227
1_383_1	0.647130	1.178885	-2.145093	-0.789479	-1.879696
1_384_1	0.643947	-0.577380	-1.381671	-0.999254	-0.790939
1_385_1	-1.260112	-1.267278	1.519451	1.333444	1.434778
