Pattern,avgS,ha,hb,hc,hd,he,hf,hg,hh,hi,hj
oct4_down_s7,1.9425,0.8859818312423426,0.8605251828316572,0.8241026614412146,0.8026073614350532,0.8288766772347513,0.8047541323861184,7849.185094244178,7477.447467248805,7706.417363760483,7370.77224895252
oct4_down_s8,1.9183,0.8672252180950801,0.8428115931910422,0.8216282770343898,0.7990776636115379,0.8190953826545849,0.7962723193131506,7766.646880888616,7400.3388259706135,7649.220683657691,7317.527573943583
oct4_down_s9,1.8948,0.8522956674207081,0.8257191770637915,0.8106349385675741,0.7867084627924615,0.8109806119921078,0.7863792676091222,7689.744231906654,7329.34339200913,7592.954281592666,7265.45871951482
oct4_down_s10,1.8766,0.837508659333176,0.8125043012780873,0.8068258548476326,0.77941344358106,0.8032983749189749,0.7799211475903822,7631.561757387833,7270.036862647292,7556.44215510461,7229.548528762472
sox2_down_s6,2.0072,0.74132182023273,0.7472180662057905,0.7834587795982126,0.7950345458158179,0.7895152634187871,0.7961545954307687,8746.54576127792,8369.17149068026,8892.33177340294,8496.583583206202
sox2_down_s7,1.9984,0.73248043592443,0.7378218337347864,0.7899409588354329,0.7947599442317168,0.7818697254759539,0.7890684115102153,8759.349019764359,8380.920852488376,8906.55833802945,8511.605082296599
sox2_down_s8,1.9928,0.7241156696005654,0.7285519920148218,0.7686128822286526,0.773535545682656,0.7744549419459706,0.7813293398092367,8781.25685922973,8402.319807165539,8931.561614441878,8535.167497640294
sox2_down_s9,1.988,0.7169015268970681,0.7219745237970102,-0.0882626828103942,0.42235852302548604,0.7691072202169971,0.7760646067373582,8800.142517241184,8407.519778180482,8953.384939936444,8543.358242699429
sox2_down_s10,1.9833,0.7104457640172261,0.7154763678793961,-0.09510091581147895,0.7713853500435577,0.7635429939875158,0.7707882559525931,8807.75889187553,8413.295150761065,8964.447454976667,8551.06781401834
gata6_over_s1,2.6314,1.1928758037936005,1.1474786792117841,1.1386206483005,1.1008983894051632,1.1439504759089283,1.1057104990157107,9538.522736878343,9715.82366955563,9159.604453947817,9339.80639116774
gata6_over_s2,2.5632,1.175930471862763,1.1343787413954058,1.1170136079492947,1.0799245597772922,1.1203275347180686,1.0842269198077277,9413.575878348454,9615.060754625005,8960.414322080822,9167.165105671782
gata6_over_s3,2.5202,1.164762674659793,1.125024002610402,1.1048206524708157,1.0703663155729735,1.1051639863902067,1.0702175025732579,9345.918235135267,9558.851922198173,8864.562126050558,9081.374097863427
gata6_over_s4,2.4924,1.1554789452725842,1.11724074365801,1.0895711892002424,0.11175625883783019,1.093653065741743,1.059664755906643,9305.09280994483,9532.227387802275,8817.349512788083,9046.122771701625
gata6_over_s5,2.4747,1.1490792667459924,1.11172460912554,1.085436494802688,1.0520059467485983,1.0863456128882114,1.0536166572834478,9279.297740776752,9501.049717826178,8797.559752061159,9024.793772950763
